,Case,dynamic_hypothesis,variables,label_graphs,nx_graph,Reference 
0,1,"The order rate decision, if it is to bring actual inventory towards desired inventory, must increase the order rate as inventory falls below desired inventory. Conversely, as inventory rises toward the desired inventory, order rate should be reduced","order rate,inventory,desired inventory,adjustment time","digraph {
""order rate"" -> ""inventory"" [arrowhead = vee]
""inventory""->""order rate""[arrowhead = tee] 
""desired inventory"" -> ""order rate""[arrowhead = vee] 
""adjustment time"" -> ""order rate""[arrowhead = tee] 
}",DiGraph with 4 nodes and 4 edges,
1,2,"A hot cup of coffee will gradually cool down to room temperature. It's rate of cooling depends on the difference between the temperature of the coffee and the temperature of the room. The greater the difference, the faster the coffee will cool.","coffee temperature,discrepancy,cooling rate,room temperature","digraph {
""coffee temperature"" -> ""discrepancy"" [arrowhead = vee] 
""discrepancy""->""cooling rate""[arrowhead = vee] 
""cooling rate"" -> ""coffee temperature""[arrowhead = tee] 
""room temperature"" -> ""discrepancy""[arrowhead = tee] 
}",DiGraph with 4 nodes and 4 edges,
2,3,"The number of E. coli bacteria in the flask influences the reproduction rate which, in turn, influences the number of E. coli bacteria.  Increasing the number of E. coli bacteria will in turn increase the reproduction rate, which compounds the initial increase of the number of E. coli bacteria in the shaking flask.","E. Coli Bacteria,reproduction,Reproduction Fraction","digraph {
""E. Coli Bacteria"" -> ""reproduction"" [arrowhead = vee] 
""reproduction""->""E. Coli Bacteria""[arrowhead = vee] 
""Reproduction Fraction"" -> ""reproduction""[arrowhead = vee] 
}",DiGraph with 3 nodes and 3 edges,
3,4,"The more my uncle smokes, the more addicted he becomes to the nicotine in his cigarettes. After smoking a few cigarettes a long time ago, my uncle began to develop a need for cigarettes. The need caused him to smoke even more, which produced an even stronger need to smoke. The reinforcing behavior in the addiction process is characteristic of positive feedback.","smoking,cigarettes smoked,need for cigarettes,addiction time","digraph {
""smoking"" -> ""cigarettes smoked"" [arrowhead = vee] 
""cigarettes smoked""->""need for cigarettes""[arrowhead = vee] 
""need for cigarettes"" -> ""smoking""[arrowhead = vee]
""addiction time"" -> ""smoking"" [arrowhead = tee]
}",DiGraph with 4 nodes and 4 edges,
4,5,"Negative feedback system is the gradual decay of radioactive nuclei. Every year, a fraction of the total number of radioactive nuclei decays.","radioactive nuclei,decay,decay constant","digraph {
""radioactive nuclei"" -> ""decay"" [arrowhead = tee] 
""decay""->""radioactive nuclei""[arrowhead = vee] 
""decay constant"" -> ""decay""[arrowhead = vee]
}",DiGraph with 3 nodes and 3 edges,
5,6,"The more I am overweight, the more I diet, which makes me less overweight. As my weight approaches my desired weight, I feel less pressured to diet.","dieting,weight,amount overweight,time for dieting to reduce weight,desired weight","digraph {
""dieting"" -> ""weight"" [arrowhead = tee] 
""weight""->""amount overweight""[arrowhead = vee] 
""amount overweight"" -> ""dieting""[arrowhead = vee]
""time for dieting to reduce weight"" -> ""dieting""[arrowhead = tee]
""desired weight""->""amount overweight""[arrowhead = tee] 
}",DiGraph with 5 nodes and 5 edges,
6,7,"The larger the population, the greater the number of births. increases, the faster the population increases. The more the birth rate increases, the faster the population increases.","births,rabbit population,birth fraction","digraph {
""births"" -> ""rabbit population"" [arrowhead = vee] 
""rabbit population""->""births""[arrowhead = vee] 
""birth fraction"" -> ""births""[arrowhead = vee]
}",DiGraph with 3 nodes and 3 edges,
7,8,"The number of deaths each year is a certain fraction of the skunk population. The death fraction represents the mortality of the population. A large skunk population has a high death rate, which sharply reduces the population. As the population decreases, the death rate becomes less drastic, causing the population to continue to decrease, but not as severely. Eventually, all the skunks die.","skunk population,deaths,death fraction","digraph {
""skunk population"" -> ""deaths"" [arrowhead = vee] 
""deaths""->""skunk population""[arrowhead = tee] 
""death fraction"" -> ""deaths""[arrowhead = vee]
}",DiGraph with 3 nodes and 3 edges,
8,9,"Interest payments are calculated by multiplying the amount of money in a bank account by a given interest rate. The more money is in the account, the higher the interest payments, which adds even more money into the account. The rich get richer.","interest payments,money in bank account,interest rate","digraph {
""interest payments"" -> ""money in bank account"" [arrowhead = vee] 
""money in bank account""->""interest payments""[arrowhead = vee] 
""interest rate"" -> ""interest payments""[arrowhead = vee]
}",DiGraph with 3 nodes and 3 edges,
9,10,"Food takes time to digest. The more brownies you have in your stomach, the more brownies you digest, which increases the rate at which brownies leave your stomach. As the number of brownies in your stomach decreases, the digesting rate slows down until all of the brownies have been digested.","brownies in stomach,digesting,time to digest","digraph {
""brownies in stomach"" -> ""digesting"" [arrowhead = vee] 
""digesting""->""brownies in stomach""[arrowhead = tee] 
""time to digest"" -> ""digesting""[arrowhead = tee]
}",DiGraph with 3 nodes and 3 edges,
